time,open,high,low,close,Fast EMA,Slow EMA,Buy Signal,Sell Signal,Buy/Sell Ribbon,Buy/Sell Ribbon,Buy more signals,Sell more signals,Volume,Volume MA
2021-06-18T07:00:00+07:00,38084.62,38208.0925,35147.245,35828.5925,37612.41656,38684.22595,0,0,NaN,NaN,NaN,NaN,36903.93462,31526.91859
2021-06-19T07:00:00+07:00,35835.41,36452.9525,34824.45,35496.7275,37286.92593,38448.11496,0,0,NaN,NaN,NaN,NaN,26288.14497,31597.32243
2021-06-20T07:00:00+07:00,35490.5575,36126.265,33346.765,35592.295,37026.21348,38236.57274,0,0,NaN,NaN,NaN,NaN,32277.60872,31611.67196
2021-06-21T07:00:00+07:00,35593.3025,35749.11,31253.715,31628.705,36195.82756,37747.10105,0,0,NaN,NaN,NaN,NaN,68142.45192,33617.12438
2021-06-22T07:00:00+07:00,31613.265,33318.1675,28754.4,32531.0825,35632.02063,37360.72931,0,0,NaN,NaN,NaN,NaN,83738.07526,36497.90908
2021-06-23T07:00:00+07:00,32533.8975,34902.905,31877.5875,33676.2075,35331.1263,37087.80177,0,0,NaN,NaN,NaN,NaN,39494.96004,37213.55467
2021-06-24T07:00:00+07:00,33690.8925,35292.6925,32315.595,34666.66,35228.90072,36908.45793,0,0,NaN,NaN,NaN,NaN,29077.62131,37115.09245
2021-06-25T07:00:00+07:00,34673.2125,35406.58,31288.2575,31594.5075,34669.7633,36514.83198,0,0,NaN,NaN,NaN,NaN,41441.55906,37903.10726
2021-06-26T07:00:00+07:00,31589.3075,32712.1025,30144.49,32275.4475,34301.40702,36200.8035,0,0,NaN,NaN,NaN,NaN,30041.43154,38660.32963
2021-06-27T07:00:00+07:00,32275.5875,34742.985,32014.125,34690.9775,34361.34094,36088.96453,0,0,NaN,NaN,NaN,NaN,24422.41606,38251.7128
2021-06-28T07:00:00+07:00,34706.3675,35308.1725,33875.2425,34488.3475,34380.88041,35970.40031,0,0,NaN,NaN,NaN,NaN,24763.52176,36460.71415
2021-06-29T07:00:00+07:00,34494.635,36650.9475,34247.8275,35907.5775,34615.75689,35965.74677,0,0,NaN,NaN,NaN,NaN,28233.1179,35466.8962
